"Energiedragers","Perioden","Energieaanbod/Winning (PJ)","Energieaanbod/Invoer (PJ)","Energieaanbod/Uitvoer (PJ)","Energieaanbod/Invoersaldo (PJ)","Energieaanbod/Bunkering (PJ)","Totaal energieverbruik (PJ)"
"Aardgas","1986","  2358.0","    63.0","  1045.0","  -982.0","","  1376.0"
"Aardgas","1987","  2362.0","    67.0","  1009.0","  -942.0","","  1420.0"
"Aardgas","1988","  2085.0","    80.0","   880.0","  -800.0","","  1284.0"
"Aardgas","1989","  2279.0","    82.0","  1046.0","  -964.0","","  1317.0"
"Aardgas","1990","  2283.0","    85.1","  1081.4","  -996.0","       .","  1325.0"
"Aardgas","1991","  2581.2","    73.3","  1215.6"," -1142.0","       .","  1478.5"
"Aardgas","1992","  2592.2","    88.6","  1287.0"," -1198.0","       .","  1439.7"
"Aardgas","1993","  2642.4","   110.5","  1317.7"," -1207.0","       .","  1480.7"
"Aardgas","1994","  2506.6","   110.2","  1219.9"," -1110.0","       .","  1430.0"
"Aardgas","1995","  2548.2","   115.6","  1219.6"," -1104.0","       .","  1468.9"
"Aardgas","1996","  2883.9","   170.8","  1464.0"," -1293.0","       .","  1627.9"
"Aardgas","1997","  2554.2","   216.6","  1273.5"," -1057.0","       .","  1525.3"
"Aardgas","1998","  2436.4","   216.2","  1166.0","  -950.0","       .","  1506.2"
"Aardgas","1999","  2265.6","   324.5","  1142.6","  -818.0","       .","  1471.6"
"Aardgas","2000","  2209.0","   522.3","  1241.9","  -720.0","       .","  1475.7"
"Aardgas","2001","  2327.3","   641.5","  1486.0","  -844.0","       .","  1505.5"
"Aardgas","2002","  2286.7","   802.7","  1575.1","  -772.0","       .","  1490.3"
"Aardgas","2003","  2185.8","   764.3","  1442.6","  -678.0","       .","  1500.6"
"Aardgas","2004","  2578.2","   565.3","  1606.0"," -1041.0","       .","  1536.4"
"Aardgas","2005","  2352.0","   688.2","  1564.9","  -877.0","       .","  1492.4"
"Aardgas","2006","  2322.1","   755.3","  1639.9","  -885.0","       .","  1433.1"
"Aardgas","2007","  2232.1","   782.9","  1670.2","  -887.0","       .","  1397.0"
"Aardgas","2008","  2552.7","   793.8","  1851.7"," -1058.0","       .","  1454.0"
"Aardgas","2009","  2358.0","   770.1","  1668.5","  -898.0","       .","  1488.9"
"Aardgas","2010","  2709.6","   772.5","  1786.1"," -1014.0","       .","  1683.3"
"Aardgas","2011","  2501.9","   719.5","  1719.3"," -1000.0","       .","  1473.4"
"Aardgas","2012","  2462.5","   841.4","  1906.5"," -1065.0","       .","  1414.2"
"Aardgas","2013","  2606.6","   913.1","  2128.1"," -1215.0","     0.0","  1408.0"
"Aardgas","2014","  2173.9","   934.7","  1846.7","  -912.0","     0.0","  1241.0"
"Aardgas","2015","  1651.4","  1223.9","  1663.3","  -439.0","     0.0","  1226.9"
"Aardgas","2016","  1594.3","  1384.1","  1796.5","  -412.0","     0.0","  1259.7"
"Aardgas","2017**","  1388.5","  1624.4","  1681.5","   -57.0","     0.1","  1299.3"
"Hernieuwbare energie","1946","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1947","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1948","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1949","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1950","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1951","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1952","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1953","       .","       .","       .","       .","","       ."
